severity,filename,coherence_before,contrast_before,fragmentation_before,continuity_before,ridge_coverage_before,coherence_after,contrast_after,fragmentation_after,continuity_after,ridge_coverage_after,delta_coherence,delta_contrast,delta_fragmentation,delta_continuity,delta_ridge_coverage
Easy,397__M_Right_thumb_finger_Zcut.BMP,0.8003575801849365,0.23702776432037354,1.8822080010951028,49.57017543859649,0.4458770751953125,0.8423030972480774,0.2321600764989853,1.5423635865094598,54.61764705882353,0.4451904296875,0.04194551706314087,-0.004867687821388245,-0.33984441458564296,5.047471620227036,-0.0006866455078125
Easy,464__M_Left_middle_finger_CR.BMP,0.7955702543258667,0.2481907308101654,1.5858787836999242,39.46621621621622,0.442596435546875,0.8335717916488647,0.24379298090934753,1.3777900248002204,44.36153846153846,0.4429931640625,0.03800153732299805,-0.004397749900817871,-0.2080887588997038,4.895322245322241,0.000396728515625
Easy,93__M_Right_middle_finger_Obl.BMP,0.7134913802146912,0.2064627856016159,5.886708626434653,14.559055118110237,0.412139892578125,0.7745271921157837,0.19973716139793396,4.428071742204361,17.74247491638796,0.410064697265625,0.06103581190109253,-0.006725624203681946,-1.458636884230292,3.183419798277722,-0.0020751953125
Easy,512__M_Right_middle_finger_CR.BMP,0.6886999607086182,0.19032777845859528,1.6037374054317888,45.78225806451613,0.4376678466796875,0.7434336543083191,0.18417656421661377,1.3267229942043153,52.476190476190474,0.437042236328125,0.05473369359970093,-0.006151214241981506,-0.2770144112274735,6.693932411674346,-0.0006256103515625
Easy,330__M_Left_index_finger_Zcut.BMP,0.6970418691635132,0.22204887866973877,5.531326454632486,17.11142061281337,0.4303436279296875,0.7442435026168823,0.21712204813957214,4.8744040418416,17.94277108433735,0.428863525390625,0.04720163345336914,-0.004926830530166626,-0.6569224127908866,0.8313504715239795,-0.0014801025390625
Easy,226__M_Left_index_finger_Obl.BMP,0.6688145995140076,0.25297313928604126,11.981865284974093,11.19047619047619,0.329833984375,0.7030172944068909,0.24940739572048187,9.676062263357172,12.261072261072261,0.3264312744140625,0.0342026948928833,-0.003565743565559387,-2.3058030216169207,1.0705960705960713,-0.0034027099609375
Easy,512__M_Right_thumb_finger_CR.BMP,0.7615007758140564,0.22367456555366516,3.980862641978014,25.50655021834061,0.4178009033203125,0.8057255744934082,0.21787914633750916,3.4998526377836723,27.59223300970874,0.4141845703125,0.04422479867935181,-0.005795419216156006,-0.4810100041943417,2.0856827913681286,-0.0036163330078125
Easy,147__M_Right_ring_finger_Zcut.BMP,0.646929144859314,0.18604126572608948,2.6786360674726706,34.797872340425535,0.421539306640625,0.7071884274482727,0.18111318349838257,1.3387365221796077,47.32575757575758,0.421722412109375,0.06025928258895874,-0.004928082227706909,-1.3398995452930629,12.527885235332043,0.00018310546875
Easy,229__M_Right_index_finger_Obl.BMP,0.5698185563087463,0.13563695549964905,1.0098899568184985,51.097345132743364,0.43817138671875,0.645548939704895,0.12949955463409424,0.7677007362947971,58.10227272727273,0.44240150673088796,0.07573038339614868,-0.00613740086555481,-0.2421892205237014,7.004927594529363,0.004230120012137961
Easy,554__M_Left_middle_finger_CR.BMP,0.7334933280944824,0.1794513463973999,2.033006457785219,32.037267080745345,0.382781982421875,0.7932712435722351,0.1737154722213745,1.3398294762484775,42.2695652173913,0.375823974609375,0.059777915477752686,-0.005735874176025391,-0.6931769815367415,10.232298136645959,-0.0069580078125
Easy,277__M_Right_middle_finger_Zcut.BMP,0.7015490531921387,0.1955188512802124,3.9909699266306538,24.183333333333334,0.378509521484375,0.7494062781333923,0.19049647450447083,2.874843098352027,28.685,0.3768463134765625,0.04785722494125366,-0.005022376775741577,-1.116126828278627,4.501666666666665,-0.0016632080078125
Easy,19__M_Left_index_finger_Zcut.BMP,0.7114306688308716,0.21373578906059265,1.902681371339981,42.56428571428572,0.4330596923828125,0.7543604373931885,0.20956233143806458,1.5089307646418921,50.6,0.4348297119140625,0.042929768562316895,-0.004173457622528076,-0.3937506066980889,8.035714285714285,0.00177001953125
Easy,288__M_Right_index_finger_Obl.BMP,0.6856730580329895,0.1861131489276886,2.805359713558008,23.925925925925927,0.4133758544921875,0.7397364377975464,0.18077728152275085,2.7127577119826385,26.112745098039216,0.4014499743298536,0.054063379764556885,-0.005335867404937744,-0.09260200157536946,2.186819172113289,-0.011925880162333924
Easy,131__M_Right_middle_finger_Zcut.BMP,0.6131801009178162,0.17953285574913025,3.1932078590480484,25.532258064516128,0.4061737060546875,0.6614493727684021,0.17527316510677338,2.359020444843855,28.357798165137616,0.407501220703125,0.04826927185058594,-0.0042596906423568726,-0.8341874142041932,2.825540100621488,0.0013275146484375
Easy,555__M_Right_middle_finger_Obl.BMP,0.5504295229911804,0.17050330340862274,6.671831955922865,10.91041162227603,0.3544921875,0.608314037322998,0.1636340320110321,5.3114437469821345,12.661676646706587,0.3476104736328125,0.05788451433181763,-0.006869271397590637,-1.3603882089407309,1.7512650244305572,-0.0068817138671875
Easy,589__M_Left_ring_finger_CR.BMP,0.5986950397491455,0.1501130312681198,3.8743004735256132,20.782442748091604,0.3899078369140625,0.7033889889717102,0.14662040770053864,2.081887578070784,29.786666666666665,0.3844596503342854,0.1046939492225647,-0.0034926235675811768,-1.792412895454829,9.004223918575061,-0.005448186579777081
Easy,83__M_Left_index_finger_CR.BMP,0.7061266899108887,0.2104586958885193,7.438987253665116,13.32336956521739,0.3507537841796875,0.7493125200271606,0.20548409223556519,5.5969327045965365,15.786666666666667,0.3462371826171875,0.04318583011627197,-0.0049746036529541016,-1.8420545490685791,2.4632971014492764,-0.0045166015625
Easy,586__M_Right_ring_finger_Zcut.BMP,0.727481484413147,0.22125020623207092,3.3392113458147303,27.864077669902912,0.4066925048828125,0.7728416323661804,0.2163865566253662,2.5224004216549956,33.482142857142854,0.405303955078125,0.04536014795303345,-0.004863649606704712,-0.8168109241597348,5.618065187239942,-0.0013885498046875
Easy,21__M_Right_index_finger_CR.BMP,0.7605681419372559,0.21514417231082916,1.0462892809467115,66.28571428571429,0.4282999041938375,0.8095757961273193,0.21020546555519104,0.6936585009674711,81.15151515151516,0.42494996664442963,0.04900765419006348,-0.0049387067556381226,-0.3526307799792404,14.865800865800864,-0.0033499375494078776
Easy,485__M_Left_index_finger_Obl.BMP,0.564229428768158,0.15334552526474,1.9487997165382231,28.30625,0.344512939453125,0.6090545058250427,0.15023869276046753,1.840857839753325,31.053435114503817,0.3380051644214915,0.044825077056884766,-0.003106832504272461,-0.10794187678489808,2.747185114503818,-0.0065077750316335226
